Q00_Identification,Q01_AI Perception 1,Q02_AI Perception 2,Q03_AI Representation 1,Q04_AI Representation 2,Q05_AI Conceptual,Q06_AI Conceptual 2,Q07_AI Interaction 1,Q08_AI Interaction 2,Q09_AI Societal Impact 1,Q10_AI Societal Impact 2
,4 : Agree,4 : Agree,4 : Agree,5 : Strongly agree,2 : Disagree,3 : Not sure,2 : Disagree,4 : Agree,3 : Not sure,4 : Agree
csrFeB07,4 : Agree,4 : Agree,1 : Strongly disagree,5 : Strongly agree,2 : Disagree,1 : Strongly disagree,1 : Strongly disagree,4 : Agree,2 : Disagree,4 : Agree
,2 : Disagree,4 : Agree,2 : Disagree,4 : Agree,1 : Strongly disagree,3 : Not sure,2 : Disagree,4 : Agree,3 : Not sure,4 : Agree
hncyse17,4 : Agree,1 : Strongly disagree,1 : Strongly disagree,5 : Strongly agree,2 : Disagree,2 : Disagree,2 : Disagree,4 : Agree,3 : Not sure,4 : Agree
wieak22,4 : Agree,4 : Agree,2 : Disagree,5 : Strongly agree,1 : Strongly disagree,2 : Disagree,2 : Disagree,4 : Agree,2 : Disagree,4 : Agree
ymjey03,4 : Agree,4 : Agree,3 : Not sure,4 : Agree,3 : Not sure,2 : Disagree,2 : Disagree,3 : Not sure,3 : Not sure,4 : Agree
dihfr13,3 : Not sure,5 : Strongly agree,4 : Agree,4 : Agree,1 : Strongly disagree,3 : Not sure,1 : Strongly disagree,5 : Strongly agree,3 : Not sure,3 : Not sure
cmhgs15,3 : Not sure,4 : Agree,4 : Agree,3 : Not sure,3 : Not sure,4 : Agree,2 : Disagree,4 : Agree,1 : Strongly disagree,5 : Strongly agree
cisoi27,4 : Agree,4 : Agree,3 : Not sure,3 : Not sure,3 : Not sure,4 : Agree,3 : Not sure,4 : Agree,3 : Not sure,4 : Agree
cannot open,3 : Not sure,3 : Not sure,3 : Not sure,3 : Not sure,3 : Not sure,3 : Not sure,3 : Not sure,3 : Not sure,3 : Not sure,3 : Not sure
Suprd11,4 : Agree,5 : Strongly agree,3 : Not sure,2 : Disagree,4 : Agree,2 : Disagree,3 : Not sure,4 : Agree,2 : Disagree,5 : Strongly agree
sbhjh18,4 : Agree,4 : Agree,2 : Disagree,4 : Agree,1 : Strongly disagree,2 : Disagree,2 : Disagree,5 : Strongly agree,2 : Disagree,4 : Agree
ghjlv09,4 : Agree,5 : Strongly agree,1 : Strongly disagree,4 : Agree,1 : Strongly disagree,2 : Disagree,1 : Strongly disagree,5 : Strongly agree,1 : Strongly disagree,4 : Agree
duygma03,2 : Disagree,4 : Agree,4 : Agree,4 : Agree,2 : Disagree,4 : Agree,1 : Strongly disagree,4 : Agree,2 : Disagree,4 : Agree
zj j16,4 : Agree,4 : Agree,2 : Disagree,4 : Agree,2 : Disagree,2 : Disagree,2 : Disagree,4 : Agree,4 : Agree,5 : Strongly agree
anlhl24,4 : Agree,4 : Agree,4 : Agree,4 : Agree,3 : Not sure,4 : Agree,2 : Disagree,4 : Agree,4 : Agree,4 : Agree
lsmyj16,5 : Strongly agree,4 : Agree,2 : Disagree,4 : Agree,4 : Agree,4 : Agree,2 : Disagree,4 : Agree,1 : Strongly disagree,4 : Agree
muyu,3 : Not sure,5 : Strongly agree,2 : Disagree,5 : Strongly agree,4 : Agree,4 : Agree,1 : Strongly disagree,5 : Strongly agree,5 : Strongly agree,2 : Disagree
lnxge25,2 : Disagree,4 : Agree,2 : Disagree,4 : Agree,2 : Disagree,2 : Disagree,1 : Strongly disagree,4 : Agree,3 : Not sure,5 : Strongly agree
htmlt27,4 : Agree,4 : Agree,4 : Agree,4 : Agree,4 : Agree,3 : Not sure,4 : Agree,5 : Strongly agree,2 : Disagree,5 : Strongly agree
lhrlb18,1 : Strongly disagree,5 : Strongly agree,1 : Strongly disagree,5 : Strongly agree,1 : Strongly disagree,3 : Not sure,1 : Strongly disagree,5 : Strongly agree,2 : Disagree,5 : Strongly agree
hwcaj01,3 : Not sure,4 : Agree,4 : Agree,4 : Agree,3 : Not sure,4 : Agree,4 : Agree,4 : Agree,3 : Not sure,5 : Strongly agree
SSALFWJ05,1 : Strongly disagree,2 : Disagree,2 : Disagree,4 : Agree,2 : Disagree,3 : Not sure,2 : Disagree,5 : Strongly agree,2 : Disagree,4 : Agree
tgtyk18,2 : Disagree,4 : Agree,1 : Strongly disagree,4 : Agree,1 : Strongly disagree,2 : Disagree,2 : Disagree,3 : Not sure,1 : Strongly disagree,4 : Agree
tkblr11,2 : Disagree,4 : Agree,2 : Disagree,3 : Not sure,4 : Agree,4 : Agree,4 : Agree,5 : Strongly agree,4 : Agree,5 : Strongly agree
kndsj23,2 : Disagree,4 : Agree,2 : Disagree,4 : Agree,1 : Strongly disagree,3 : Not sure,1 : Strongly disagree,5 : Strongly agree,1 : Strongly disagree,4 : Agree
oglui14,4 : Agree,5 : Strongly agree,1 : Strongly disagree,3 : Not sure,1 : Strongly disagree,2 : Disagree,4 : Agree,5 : Strongly agree,1 : Strongly disagree,2 : Disagree
snlye06,4 : Agree,4 : Agree,4 : Agree,3 : Not sure,4 : Agree,3 : Not sure,5 : Strongly agree,5 : Strongly agree,4 : Agree,4 : Agree
thles14,2 : Disagree,2 : Disagree,2 : Disagree,4 : Agree,1 : Strongly disagree,1 : Strongly disagree,1 : Strongly disagree,5 : Strongly agree,3 : Not sure,4 : Agree
rnliyg07,2 : Disagree,3 : Not sure,2 : Disagree,4 : Agree,2 : Disagree,2 : Disagree,2 : Disagree,4 : Agree,4 : Agree,4 : Agree
axm22,2 : Disagree,4 : Agree,1 : Strongly disagree,4 : Agree,1 : Strongly disagree,1 : Strongly disagree,1 : Strongly disagree,5 : Strongly agree,1 : Strongly disagree,5 : Strongly agree
,3 : Not sure,4 : Agree,4 : Agree,4 : Agree,3 : Not sure,4 : Agree,3 : Not sure,3 : Not sure,3 : Not sure,3 : Not sure
bytac30,4 : Agree,4 : Agree,4 : Agree,4 : Agree,3 : Not sure,3 : Not sure,2 : Disagree,5 : Strongly agree,3 : Not sure,4 : Agree
brpms17,4 : Agree,3 : Not sure,4 : Agree,3 : Not sure,2 : Disagree,4 : Agree,2 : Disagree,4 : Agree,2 : Disagree,4 : Agree
Femsh28,4 : Agree,4 : Agree,2 : Disagree,5 : Strongly agree,1 : Strongly disagree,2 : Disagree,1 : Strongly disagree,5 : Strongly agree,1 : Strongly disagree,5 : Strongly agree
jueace07,2 : Disagree,4 : Agree,2 : Disagree,4 : Agree,4 : Agree,2 : Disagree,2 : Disagree,4 : Agree,2 : Disagree,4 : Agree
bgwgj22,4 : Agree,3 : Not sure,2 : Disagree,5 : Strongly agree,1 : Strongly disagree,2 : Disagree,2 : Disagree,5 : Strongly agree,3 : Not sure,5 : Strongly agree
mykav12,2 : Disagree,4 : Agree,4 : Agree,4 : Agree,2 : Disagree,2 : Disagree,1 : Strongly disagree,5 : Strongly agree,3 : Not sure,2 : Disagree
,5 : Strongly agree,5 : Strongly agree,5 : Strongly agree,5 : Strongly agree,5 : Strongly agree,5 : Strongly agree,5 : Strongly agree,5 : Strongly agree,5 : Strongly agree,5 : Strongly agree