id,ses_parent1_edu,ses_parent2_edu,ses_household_income,ses_school_type,ses_housing_type,ses_household_size,ses_home_area,ses_device_access,ses_internet_quality,ses_lang_cantonese,ses_lang_mandarin,ses_lang_english,ses_lang_other,ses_financial_constraint,ai_course_taken,ai_concept_data_bias_r,ai_ability_training_data,ai_concept_blackbox_r,ai_ability_explainability,ai_concept_input_variation_r,ai_ability_input_sensitivity,ai_concept_prompt_wording_r,ai_ability_prompting,ai_concept_social_ethics_r,ai_ability_social_ethics,med_conceptual_exposure_1,med_conceptual_exposure_2,med_practical_ai_use_1,med_practical_ai_use_2,med_learning_ecology_1,med_learning_ecology_2,med_language_load_1,med_language_load_2,med_epistemic_stance_1,med_epistemic_stance_2,course,ses_parent1_edu_num,ses_parent2_edu_num,ses_household_income_num,ses_school_type_num,ses_housing_type_num,ses_household_size_num,ses_home_area_num,ses_device_access_num,ses_internet_quality_num,ses_financial_constraint_num,ai_course_taken_num,ai_concept_data_bias_r_num,ai_ability_training_data_num,ai_concept_blackbox_r_num,ai_ability_explainability_num,ai_concept_input_variation_r_num,ai_ability_input_sensitivity_num,ai_concept_prompt_wording_r_num,ai_ability_prompting_num,ai_concept_social_ethics_r_num,ai_ability_social_ethics_num,med_conceptual_exposure_1_num,med_conceptual_exposure_2_num,med_practical_ai_use_1_num,med_practical_ai_use_2_num,med_learning_ecology_1_num,med_learning_ecology_2_num,med_language_load_1_num,med_language_load_2_num,med_epistemic_stance_1_num,med_epistemic_stance_2_num,ai_concept_data_bias_scored_num,ai_concept_blackbox_scored_num,ai_concept_input_variation_scored_num,ai_concept_prompt_wording_scored_num,ai_concept_social_ethics_scored_num,ai_ability_training_data_scored_num,ai_ability_explainability_scored_num,ai_ability_input_sensitivity_scored_num,ai_ability_prompting_scored_num,ai_ability_social_ethics_scored_num,ai_lit_score,ses_device_access_scored_num,ses_internet_quality_scored_num,ses_financial_constraint_scored_num,ses_index,conceptual_exposure_score,practical_ai_use_score,learning_ecology_score,language_load_score,epistemic_stance_score,ai_factor1_score,ai_factor2_score,ses_factor1_score,ses_factor2_score,post_Q01_AI Perception 1,post_Q02_AI Perception 2,post_Q03_AI Representation 1,post_Q04_AI Representation 2,post_Q05_AI Conceptual,post_Q06_AI Conceptual 2,post_Q07_AI Interaction 1,post_Q08_AI Interaction 2,post_Q09_AI Societal Impact 1,post_Q10_AI Societal Impact 2,ai_concept_input_variation_scored_num_post,ai_ability_input_sensitivity_scored_num_post,ai_concept_blackbox_scored_num_post,ai_ability_explainability_scored_num_post,ai_concept_data_bias_scored_num_post,ai_ability_training_data_scored_num_post,ai_concept_prompt_wording_scored_num_post,ai_ability_prompting_scored_num_post,ai_concept_social_ethics_scored_num_post,ai_ability_social_ethics_scored_num_post,ai_conceptual_score_pre,ai_confidence_score_pre,ai_lit_score_pre,ai_conceptual_score_post,ai_confidence_score_post,ai_lit_score_post,ai_factor1_score_post,ai_factor2_score_post
csrFeB07,3 : Secondary education,5 : Bachelor's degree,"4 : HKD 32,000–49,999",3 : International school,3 : Private Housing – Owned,4 : 4 people,5 : 800 square feet or above (74 m$^2$ or above),"1 : Yes, I had my own personal device.",1 : Stable and high-speed,1,1,0,0,2 : Rarely (around 1-33\%),1,2 : 2 = Disagree,4 : 4 = Agree,1 : 1 = Strongly disagree,4 : 4 = Agree,4 : 4 = Agree,4 : 4 = Agree,4 : 4 = Agree,4 : 4 = Agree,3 : 3 = Not sure,4 : 4 = Agree,5 : 5 = Very often,5 : 5 = Extremely familiar,4 : 4 = Often,3 : 3 = Sometimes,3 : 3 = Sometimes,4 : 4 = Very available,4 : 4 = Often,3 : 3 = Sometimes,4 : 4 = Very comfortable,4 : 4 = Often,1111,3,5,4,3,3,4,5,1,1,2,1,2,4,1,4,4,4,4,4,3,4,5,5,4,3,3,4,4,3,4,4,4,5,2,2,3,4,4,4,4,4,3.6,3,3,3,0.1811561778391921,5.0,3.5,3.5,3.5,4.0,-0.1406798137307602,0.1555305719215922,-0.0414766910468226,0.3863698110242981,4 : Agree,4 : Agree,1 : Strongly disagree,5 : Strongly agree,2 : Disagree,1 : Strongly disagree,1 : Strongly disagree,4 : Agree,2 : Disagree,4 : Agree,2,4,5,5,4,5,5,4,4,4,3.2,4.0,3.6,4.0,4.4,4.2,0.6556383815684621,0.5608725062357964
wieak22,6 : Postgraduate degree,5 : Bachelor's degree,"5 : HKD 50,000 or above",3 : International school,4 : Private Housing – Rented,4 : 4 people,5 : 800 square feet or above (74 m$^2$ or above),"1 : Yes, I had my own personal device.",1 : Stable and high-speed,0,0,1,1,1 : Never (0\%),1,1 : 1 = Strongly disagree,4 : 4 = Agree,4 : 4 = Agree,5 : 5 = Strongly agree,4 : 4 = Agree,4 : 4 = Agree,4 : 4 = Agree,5 : 5 = Strongly agree,2 : 2 = Disagree,4 : 4 = Agree,4 : 4 = Often,4 : 4 = Very familiar,5 : 5 = Very often,5 : 5 = Very often,4 : 4 = Often,2 : 2 = Slightly available,1 : 1 = Never,1 : 1 = Never,5 : 5 = Extremely comfortable,5 : 5 = Very often,1111,6,5,5,3,4,4,5,1,1,1,1,1,4,4,5,4,4,4,5,2,4,4,4,5,5,4,2,1,1,5,5,5,2,2,2,4,4,5,4,5,4,3.7,3,3,4,0.8203967372476108,4.0,5.0,3.0,1.0,5.0,-0.1269610524625153,1.0531123650125305,0.8604233101786541,0.8030900081780173,4 : Agree,4 : Agree,2 : Disagree,5 : Strongly agree,1 : Strongly disagree,2 : Disagree,2 : Disagree,4 : Agree,2 : Disagree,4 : Agree,2,4,4,5,5,4,4,4,4,4,3.0,4.4,3.7,3.8,4.2,4.0,0.5448857202950459,0.4029211649208986
ymjey03,5 : Bachelor's degree,5 : Bachelor's degree,"3 : HKD 14,800–31,999",3 : International school,4 : Private Housing – Rented,3 : 3 people,2 : 200–399 square feet (19–37 m$^2$),"1 : Yes, I had my own personal device.",1 : Stable and high-speed,0,0,0,1,2 : Rarely (around 1-33\%),1,4 : 4 = Agree,4 : 4 = Agree,3 : 3 = Not sure,2 : 2 = Disagree,2 : 2 = Disagree,4 : 4 = Agree,2 : 2 = Disagree,4 : 4 = Agree,2 : 2 = Disagree,3 : 3 = Not sure,2 : 2 = Rarely,2 : 2 = Slightly familiar,4 : 4 = Often,5 : 5 = Very often,4 : 4 = Often,2 : 2 = Slightly available,4 : 4 = Often,3 : 3 = Sometimes,4 : 4 = Very comfortable,3 : 3 = Sometimes,1111,5,5,3,3,4,3,2,1,1,2,1,4,4,3,2,2,4,2,4,2,3,2,2,4,5,4,2,4,3,4,3,2,3,4,4,4,4,2,4,4,3,3.4,3,3,3,-0.0581275742333037,2.0,4.5,3.0,3.5,3.5,-0.1507214549056616,-0.6822925358505981,0.4669405568368703,-0.4001495923165857,4 : Agree,4 : Agree,3 : Not sure,4 : Agree,3 : Not sure,2 : Disagree,2 : Disagree,3 : Not sure,3 : Not sure,4 : Agree,2,4,3,4,3,4,4,3,3,4,3.4,3.4,3.4,3.0,3.8,3.4,-0.4693016687461066,-0.40247482064483464
dihfr13,3 : Secondary education,3 : Secondary education,"3 : HKD 14,800–31,999",1 : Government or Aided school,4 : Private Housing – Rented,6 : 6 or more people,2 : 200–399 square feet (19–37 m$^2$),"1 : Yes, I had my own personal device.",1 : Stable and high-speed,0,0,0,1,1 : Never (0\%),1,3 : 3 = Not sure,3 : 3 = Not sure,3 : 3 = Not sure,3 : 3 = Not sure,2 : 2 = Disagree,2 : 2 = Disagree,4 : 4 = Agree,4 : 4 = Agree,3 : 3 = Not sure,3 : 3 = Not sure,3 : 3 = Sometimes,2 : 2 = Slightly familiar,2 : 2 = Rarely,2 : 2 = Rarely,2 : 2 = Rarely,2 : 2 = Slightly available,5 : 5 = Very often,5 : 5 = Very often,3 : 3 = Moderately comfortable,3 : 3 = Sometimes,1111,3,3,3,1,4,6,2,1,1,1,1,3,3,3,3,2,2,4,4,3,3,3,2,2,2,2,2,5,5,3,3,3,3,4,2,3,3,3,2,4,3,3.0,3,3,4,-0.3522913941729229,2.5,2.0,2.0,5.0,3.0,-0.3592901329055489,-0.9085714668233292,-1.2090593712562332,-0.7159125337140285,3 : Not sure,5 : Strongly agree,4 : Agree,4 : Agree,1 : Strongly disagree,3 : Not sure,1 : Strongly disagree,5 : Strongly agree,3 : Not sure,3 : Not sure,3,5,2,4,5,3,5,5,3,3,3.0,3.0,3.0,3.6,4.0,3.8,-0.2001525241334945,-0.02431140778478985
cmhgs15,3 : Secondary education,2 : Primary education,"2 : HKD 10,700–14,799",1 : Government or Aided school,1 : Public Rental Housing (PRH),5 : 5 people,2 : 200–399 square feet (19–37 m$^2$),"1 : Yes, I had my own personal device.",2 : Generally stable but occasionally unreliable,1,0,0,1,4 : Often (above 67\%),1,4 : 4 = Agree,2 : 2 = Disagree,2 : 2 = Disagree,4 : 4 = Agree,4 : 4 = Agree,2 : 2 = Disagree,1 : 1 = Strongly disagree,4 : 4 = Agree,1 : 1 = Strongly disagree,5 : 5 = Strongly agree,4 : 4 = Often,2 : 2 = Slightly familiar,4 : 4 = Often,4 : 4 = Often,4 : 4 = Often,3 : 3 = Moderately available,4 : 4 = Often,2 : 2 = Rarely,3 : 3 = Moderately comfortable,4 : 4 = Often,1111,3,2,2,1,1,5,2,1,2,4,1,4,2,2,4,4,2,1,4,1,5,4,2,4,4,4,3,4,2,3,4,2,4,2,5,5,2,4,2,4,5,3.5,3,2,1,-1.3490158026431924,3.0,4.0,3.5,3.0,3.5,0.6967532456786207,-0.0656721039996566,-1.6257640401788953,-2.148838218256273,3 : Not sure,4 : Agree,4 : Agree,3 : Not sure,3 : Not sure,4 : Agree,2 : Disagree,4 : Agree,1 : Strongly disagree,5 : Strongly agree,3,4,2,3,3,2,4,4,5,5,3.6,3.4,3.5,3.4,3.6,3.5,0.29353080934313514,-0.07062221702247501
cisoi27,3 : Secondary education,3 : Secondary education,"4 : HKD 32,000–49,999",1 : Government or Aided school,1 : Public Rental Housing (PRH),4 : 4 people,3 : 400–599 square feet (37–56 m$^2$),"1 : Yes, I had my own personal device.",2 : Generally stable but occasionally unreliable,1,1,0,0,1 : Never (0\%),1,3 : 3 = Not sure,4 : 4 = Agree,4 : 4 = Agree,4 : 4 = Agree,4 : 4 = Agree,3 : 3 = Not sure,4 : 4 = Agree,5 : 5 = Strongly agree,3 : 3 = Not sure,4 : 4 = Agree,5 : 5 = Very often,4 : 4 = Very familiar,4 : 4 = Often,3 : 3 = Sometimes,3 : 3 = Sometimes,3 : 3 = Moderately available,3 : 3 = Sometimes,3 : 3 = Sometimes,3 : 3 = Moderately comfortable,3 : 3 = Sometimes,1111,3,3,4,1,1,4,3,1,2,1,1,3,4,4,4,4,3,4,5,3,4,5,4,4,3,3,3,3,3,3,3,3,2,2,2,3,4,4,3,5,4,3.2,3,2,4,-0.3765693984202393,4.5,3.5,3.0,3.0,3.0,-0.853428655070467,0.6287512367332948,-1.1788206091748774,-0.4706692613337392,4 : Agree,4 : Agree,3 : Not sure,3 : Not sure,3 : Not sure,4 : Agree,3 : Not sure,4 : Agree,3 : Not sure,4 : Agree,2,4,3,3,3,2,3,4,3,4,2.4,4.0,3.2,2.8,3.4,3.1,-0.6353185893490648,-0.5471905224524838
Suprd11,6 : Postgraduate degree,5 : Bachelor's degree,"3 : HKD 14,800–31,999",3 : International school,3 : Private Housing – Owned,4 : 4 people,2 : 200–399 square feet (19–37 m$^2$),"1 : Yes, I had my own personal device.",2 : Generally stable but occasionally unreliable,0,0,1,1,3 : Sometimes (around 34-66\%),1,3 : 3 = Not sure,5 : 5 = Strongly agree,3 : 3 = Not sure,4 : 4 = Agree,3 : 3 = Not sure,3 : 3 = Not sure,2 : 2 = Disagree,4 : 4 = Agree,3 : 3 = Not sure,4 : 4 = Agree,3 : 3 = Sometimes,3 : 3 = Moderately familiar,2 : 2 = Rarely,3 : 3 = Sometimes,3 : 3 = Sometimes,3 : 3 = Moderately available,3 : 3 = Sometimes,2 : 2 = Rarely,2 : 2 = Slightly comfortable,4 : 4 = Often,1111,6,5,3,3,3,4,2,1,2,3,1,3,5,3,4,3,3,2,4,3,4,3,3,2,3,3,3,3,2,2,4,3,3,3,4,3,5,4,3,4,4,3.6,3,2,2,-0.3723696909691811,3.0,2.5,3.0,2.5,3.0,-0.2434566383435763,0.16401926970035,0.8259431330532315,-0.4495771753594392,4 : Agree,5 : Strongly agree,3 : Not sure,2 : Disagree,4 : Agree,2 : Disagree,3 : Not sure,4 : Agree,2 : Disagree,5 : Strongly agree,2,5,3,2,2,4,3,4,4,5,3.2,4.0,3.6,2.8,4.0,3.4,-0.4926452580881708,0.28595192771545397
sbhjh18,5 : Bachelor's degree,5 : Bachelor's degree,"3 : HKD 14,800–31,999",1 : Government or Aided school,3 : Private Housing – Owned,3 : 3 people,5 : 800 square feet or above (74 m$^2$ or above),"1 : Yes, I had my own personal device.",1 : Stable and high-speed,0,1,0,0,1 : Never (0\%),0,2 : 2 = Disagree,4 : 4 = Agree,3 : 3 = Not sure,4 : 4 = Agree,2 : 2 = Disagree,4 : 4 = Agree,2 : 2 = Disagree,2 : 2 = Disagree,2 : 2 = Disagree,5 : 5 = Strongly agree,5 : 5 = Very often,1 : 1 = Not at all familiar,5 : 5 = Very often,2 : 2 = Rarely,3 : 3 = Sometimes,3 : 3 = Moderately available,4 : 4 = Often,5 : 5 = Very often,4 : 4 = Very comfortable,2 : 2 = Rarely,1111,5,5,3,1,3,3,5,1,1,1,0,2,4,3,4,2,4,2,2,2,5,5,1,5,2,3,3,4,5,4,2,4,3,4,4,4,4,4,4,2,5,3.8,3,3,4,0.4450243952289606,3.0,3.5,3.0,4.5,3.0,0.4993599509768021,-0.5929170111816466,0.4050891402221354,0.3259932769469433,4 : Agree,4 : Agree,2 : Disagree,4 : Agree,1 : Strongly disagree,2 : Disagree,2 : Disagree,5 : Strongly agree,2 : Disagree,4 : Agree,2,4,4,4,5,4,4,5,4,4,3.8,3.8,3.8,3.8,4.2,4.0,0.51909789651647,0.6946341887455667
ghjlv09,6 : Postgraduate degree,4 : Post-secondary education (non-degree),"3 : HKD 14,800–31,999",3 : International school,3 : Private Housing – Owned,3 : 3 people,5 : 800 square feet or above (74 m$^2$ or above),"1 : Yes, I had my own personal device.",2 : Generally stable but occasionally unreliable,0,1,0,0,2 : Rarely (around 1-33\%),1,2 : 2 = Disagree,5 : 5 = Strongly agree,2 : 2 = Disagree,4 : 4 = Agree,2 : 2 = Disagree,4 : 4 = Agree,2 : 2 = Disagree,5 : 5 = Strongly agree,1 : 1 = Strongly disagree,5 : 5 = Strongly agree,5 : 5 = Very often,3 : 3 = Moderately familiar,3 : 3 = Sometimes,4 : 4 = Often,5 : 5 = Very often,5 : 5 = Extremely available,2 : 2 = Rarely,2 : 2 = Rarely,3 : 3 = Moderately comfortable,4 : 4 = Often,1111,6,4,3,3,3,3,5,1,2,2,1,2,5,2,4,2,4,2,5,1,5,5,3,3,4,5,5,2,2,3,4,4,4,4,4,5,5,4,4,5,5,4.4,3,2,3,0.0183137610712189,4.0,3.5,5.0,2.0,3.5,1.0328015669489068,1.223842314711292,0.4473719159926069,0.2586012439931296,4 : Agree,5 : Strongly agree,1 : Strongly disagree,4 : Agree,1 : Strongly disagree,2 : Disagree,1 : Strongly disagree,5 : Strongly agree,1 : Strongly disagree,4 : Agree,2,5,5,4,5,4,5,5,5,4,4.2,4.6,4.4,4.4,4.4,4.4,1.1255432617150545,0.8274396867404825
duygma03,3 : Secondary education,4 : Post-secondary education (non-degree),"5 : HKD 50,000 or above",3 : International school,3 : Private Housing – Owned,2 : 2 people,4 : 600–799 square feet (56–74 m$^2$),"1 : Yes, I had my own personal device.",1 : Stable and high-speed,0,1,0,0,1 : Never (0\%),1,3 : 3 = Not sure,4 : 4 = Agree,4 : 4 = Agree,5 : 5 = Strongly agree,4 : 4 = Agree,4 : 4 = Agree,3 : 3 = Not sure,4 : 4 = Agree,5 : 5 = Strongly agree,4 : 4 = Agree,4 : 4 = Often,2 : 2 = Slightly familiar,4 : 4 = Often,3 : 3 = Sometimes,2 : 2 = Rarely,3 : 3 = Moderately available,5 : 5 = Very often,4 : 4 = Often,3 : 3 = Moderately comfortable,4 : 4 = Often,1111,3,4,5,3,3,2,4,1,1,1,1,3,4,4,5,4,4,3,4,5,4,4,2,4,3,2,3,5,4,3,4,3,2,2,3,1,4,5,4,4,4,3.2,3,3,4,0.2471006190867402,3.0,3.5,2.5,4.5,3.5,-1.5939272304135763,0.0974874077128202,-0.4143309642183908,1.2383494894452332,2 : Disagree,4 : Agree,4 : Agree,4 : Agree,2 : Disagree,4 : Agree,1 : Strongly disagree,4 : Agree,2 : Disagree,4 : Agree,4,4,2,4,4,2,5,4,4,4,2.2,4.2,3.2,3.8,3.6,3.7,0.3075079109765874,-0.47145644602307646
zj j16,3 : Secondary education,3 : Secondary education,"4 : HKD 32,000–49,999",2 : Direct Subsidy Scheme (DSS) school,1 : Public Rental Housing (PRH),6 : 6 or more people,2 : 200–399 square feet (19–37 m$^2$),"1 : Yes, I had my own personal device.",2 : Generally stable but occasionally unreliable,1,1,0,0,2 : Rarely (around 1-33\%),1,4 : 4 = Agree,4 : 4 = Agree,3 : 3 = Not sure,4 : 4 = Agree,2 : 2 = Disagree,4 : 4 = Agree,4 : 4 = Agree,4 : 4 = Agree,4 : 4 = Agree,4 : 4 = Agree,4 : 4 = Often,2 : 2 = Slightly familiar,4 : 4 = Often,4 : 4 = Often,4 : 4 = Often,3 : 3 = Moderately available,4 : 4 = Often,3 : 3 = Sometimes,3 : 3 = Moderately comfortable,3 : 3 = Sometimes,1111,3,3,4,2,1,6,2,1,2,2,1,4,4,3,4,2,4,4,4,4,4,4,2,4,4,4,3,4,3,3,3,2,3,4,2,2,4,4,4,4,4,3.3,3,2,3,-0.6524410643978031,3.0,4.0,3.5,3.5,3.0,-1.1061623487680183,-0.1132179564515348,-1.1113469849283055,-0.799889785234221,4 : Agree,4 : Agree,2 : Disagree,4 : Agree,2 : Disagree,2 : Disagree,2 : Disagree,4 : Agree,4 : Agree,5 : Strongly agree,2,4,4,4,4,4,4,4,2,5,2.6,4.0,3.3,3.2,4.2,3.7,-0.38707482558352013,0.2642685005156189
anlhl24,3 : Secondary education,3 : Secondary education,"4 : HKD 32,000–49,999",1 : Government or Aided school,3 : Private Housing – Owned,3 : 3 people,4 : 600–799 square feet (56–74 m$^2$),"1 : Yes, I had my own personal device.",2 : Generally stable but occasionally unreliable,1,0,0,0,1 : Never (0\%),1,4 : 4 = Agree,4 : 4 = Agree,4 : 4 = Agree,4 : 4 = Agree,4 : 4 = Agree,3 : 3 = Not sure,4 : 4 = Agree,4 : 4 = Agree,4 : 4 = Agree,4 : 4 = Agree,3 : 3 = Sometimes,3 : 3 = Moderately familiar,4 : 4 = Often,3 : 3 = Sometimes,3 : 3 = Sometimes,3 : 3 = Moderately available,3 : 3 = Sometimes,3 : 3 = Sometimes,3 : 3 = Moderately comfortable,3 : 3 = Sometimes,1111,3,3,4,1,3,3,4,1,2,1,1,4,4,4,4,4,3,4,4,4,4,3,3,4,3,3,3,3,3,3,3,2,2,2,2,2,4,4,3,4,4,2.9,3,2,4,-0.262929246677889,3.0,3.5,3.0,3.0,3.0,-1.4463359062482424,0.0015747314231424,-1.069333523589672,0.3098278842915061,4 : Agree,4 : Agree,4 : Agree,4 : Agree,3 : Not sure,4 : Agree,2 : Disagree,4 : Agree,4 : Agree,4 : Agree,2,4,2,4,3,2,4,4,2,4,2.0,3.8,2.9,2.6,3.6,3.1,-1.0858041794263367,-0.5153315678318104
